DraftYear,Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,PasAtt,PasYds,PasTD,Int,RusAtt,RusYds,RusTD,Rec,RecYds,RecTD,Solo,DefInt,Sk,College/Univ
2023,2,32,PIT,Joey Porter Jr.,CB,23,2023,0,0,0,4,4,17,0,0,0,0,0,0,0,0,0,0,0,32,1,,Penn St.
2015,4,117,SFO,Blake Bell,TE,24,2023,0,0,1,5,2,117,0,0,0,0,0,5,12,0,65,667,2,7,,,Oklahoma
2023,7,247,SFO,Brayden Willis,TE,23,2023,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,,,Oklahoma
2023,2,36,LAR,Steve Avila,C,23,2023,0,0,0,7,7,17,0,0,0,0,0,0,0,0,0,0,0,,,,TCU
2023,2,37,SEA,Derick Hall,DE,22,2023,0,0,0,1,1,17,0,0,0,0,0,0,0,0,0,0,0,18,,,Auburn
2023,2,38,ATL,Matthew Bergeron,OL,23,2023,0,0,0,6,6,17,0,0,0,0,0,0,0,0,0,0,0,,,,Syracuse
2024,6,187,ATL,Casey Washington,WR,,,0,0,0,,,,,,,,,,,,,,,,,,
2023,2,40,NOR,Isaiah Foskey,DL,22,2023,0,0,0,1,1,10,0,0,0,0,0,0,0,0,0,0,0,5,,,Notre Dame
2023,2,41,ARI,BJ Ojulari,DE,21,2023,0,0,0,1,1,17,0,0,0,0,0,0,0,0,0,0,0,23,,4,LSU
2023,2,61,JAX,Brenton Strange,TE,22,2023,0,0,0,0,0,14,0,0,0,0,0,0,0,0,5,35,1,1,,,Penn St.
2023,2,43,NYJ,Joe Tippmann,OL,22,2023,0,0,0,4,4,16,0,0,0,0,0,0,0,0,0,0,0,,,,Wisconsin
2023,2,44,IND,Julius Brents,DB,23,2023,0,0,0,3,3,9,0,0,0,0,0,0,0,0,0,0,0,30,1,,Kansas St.
2023,2,45,DET,Brian Branch,DB,21,2023,0,0,0,4,4,15,0,0,0,0,0,0,0,0,0,0,0,50,3,1,Alabama
2023,2,46,NWE,Keion White,DL,24,2023,0,0,0,3,3,16,0,0,0,0,0,0,0,0,0,0,0,12,,1,Georgia Tech
2023,2,47,WAS,Quan Martin,DB,23,2023,0,0,0,2,2,16,0,0,0,0,0,0,0,0,0,0,0,28,2,1,Illinois
2023,2,48,TAM,Cody Mauch,T,24,2023,0,0,0,7,7,17,0,0,0,0,0,0,0,0,0,0,0,,,,North Dakota St.
2023,2,49,PIT,Keeanu Benton,NT,22,2023,0,0,0,4,4,17,0,0,0,0,0,0,0,0,0,0,0,16,,1,Wisconsin
2023,3,74,CLE,Cedric Tillman,WR,23,2023,0,0,0,2,2,14,0,0,0,0,0,1,8,0,21,224,0,,,,Tennessee
2023,2,51,MIA,Cam Smith,DB,22,2023,0,0,0,1,1,15,0,0,0,0,0,0,0,0,0,0,0,1,,,South Carolina
2022,3,98,WAS,Brian Robinson Jr.,RB,23,2023,0,0,1,10,10,27,0,0,0,0,0,383,1530,7,45,428,5,1,,,Alabama
2023,2,53,CHI,Gervon Dexter,DL,21,2023,0,0,0,2,2,17,0,0,0,0,0,0,0,0,0,0,0,13,,2.5,Florida
2023,2,54,LAC,Tuli Tuipulotu,DL,21,2023,0,0,0,5,5,17,0,0,0,0,0,0,0,0,0,0,0,37,,4.5,USC
2018,6,208,DAL,Cedrick Wilson,WR,22,2023,0,0,0,10,6,68,5,5,111,1,0,6,7,0,101,1269,11,2,,,Boise St.
2023,2,56,CHI,Tyrique Stevenson,CB,23,2023,0,0,0,6,6,16,0,0,0,0,0,0,0,0,0,0,0,65,4,,Miami (FL)
2023,2,57,NYG,John Michael Schmitz,OL,24,2023,0,0,0,4,4,13,0,0,0,0,0,0,0,0,0,0,0,,,,Minnesota
2021,5,147,HOU,Brevin Jordan,TE,21,2023,0,0,0,4,4,34,0,0,0,0,0,0,0,0,51,525,5,1,,,Miami (FL)
2023,2,59,BUF,O'Cyrus Torrence,OL,23,2023,0,0,0,8,8,17,0,0,0,0,0,0,0,0,0,0,0,,,,Florida
2023,2,60,CIN,DJ Turner,DB,22,2023,0,0,0,4,4,17,0,0,0,0,0,0,0,0,0,0,0,40,,1,Michigan
2024,1,13,LVR,Brock Bowers,TE,21,,0,0,0,,,,,,,,,,,,,,,,,,Georgia
2023,2,62,HOU,Juice Scruggs,OL,23,2023,0,0,0,2,2,7,0,0,0,0,0,0,0,0,0,0,0,,,,Penn St.
2020,1,17,DAL,CeeDee Lamb,WR,21,2023,1,3,3,50,50,66,0,0,0,0,0,43,318,3,395,5145,32,4,,,Oklahoma
2023,3,64,CHI,Zacch Pickens,DL,23,2023,0,0,0,1,1,17,0,0,0,0,0,0,0,0,0,0,0,9,,0.5,South Carolina
2023,3,65,PHI,Tyler Steen,OL,23,2023,0,0,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,,,,Alabama
2023,3,66,PHI,Sydney Brown,DB,23,2023,0,0,0,2,2,14,0,0,0,0,0,0,0,0,0,0,0,32,1,,Illinois
2023,3,67,DEN,Drew Sanders,LB,22,2023,0,0,0,2,2,17,0,0,0,0,0,0,0,0,0,0,0,13,,,Arkansas
2017,4,141,NYJ,Chad Hansen,WR,22,2020,0,0,0,3,1,20,0,0,0,0,0,0,0,0,26,330,1,1,,,California
2023,3,70,LVR,Byron Young,DL,22,2023,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,,,Alabama
2022,7,250,LVR,Brittain Brown,RB,24,2022,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,,,,UCLA
2023,3,72,ARI,Garrett Williams,DB,22,2023,0,0,0,2,2,9,0,0,0,0,0,0,0,0,0,0,0,19,1,,Syracuse
2017,3,98,ARI,Chad Williams,WR,22,2019,0,0,1,1,1,17,0,0,0,0,0,3,42,0,20,202,1,,,,Grambling St.
2023,4,131,CIN,Charlie Jones,WR,24,2023,0,0,0,2,2,11,0,0,0,0,0,2,13,0,7,64,0,,,,Purdue
2023,3,75,ATL,Zach Harrison,DE,22,2023,0,0,0,1,1,16,0,0,0,0,0,0,0,0,0,0,0,18,,3,Ohio St.
2023,3,76,NWE,Marte Mapu,DB,23,2023,0,0,0,2,2,17,0,0,0,0,0,0,0,0,0,0,0,12,1,,Sacramento St.
2023,3,77,LAR,Byron Young,LB,25,2023,0,0,0,7,7,17,0,0,0,0,0,0,0,0,0,0,0,42,,8,Tennessee
2020,4,136,LAR,Brycen Hopkins,TE,23,2023,0,0,0,2,2,39,0,0,0,0,0,0,0,0,13,196,0,1,,,Purdue
2016,7,241,NYJ,Charone Peake,WR,23,2018,0,0,0,1,1,31,0,0,0,0,0,0,0,0,22,214,0,5,,,Clemson
2023,3,80,CAR,DJ Johnson,OLB,24,2023,0,0,0,2,2,13,0,0,0,0,0,0,0,0,0,0,0,6,,,Oregon
2019,4,112,WAS,Bryce Love,RB,22,,0,0,0,,,,,,,,,,,,,,,,,,Stanford
2023,3,82,TAM,YaYa Diaby,DL,24,2023,0,0,0,5,5,17,0,0,0,0,0,0,0,0,0,0,0,25,,7.5,Louisville
2023,3,83,DEN,Riley Moss,DB,23,2023,0,0,0,1,1,14,0,0,0,0,0,0,0,0,0,0,0,2,,,Iowa
