DraftYear,Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,PasAtt,PasYds,PasTD,Int,RusAtt,RusYds,RusTD,Rec,RecYds,RecTD,Solo,DefInt,Sk,College/Univ
2022,7,239,IND,Rodney Thomas II,LB,24,2023,0,0,1,9,9,34,0,0,0,0,0,0,0,0,0,0,0,64,6,,Yale
2022,7,240,WAS,Christian Holmes,CB,24,2023,0,0,0,3,3,30,0,0,0,0,0,0,0,0,0,0,0,11,,,Oklahoma St.
2022,7,242,CAR,Kalon Barnes,CB,23,2022,0,0,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,,,,Baylor
2022,7,243,KAN,Jaylen Watson,DB,23,2023,0,0,0,5,5,32,0,0,0,0,0,0,0,0,0,0,0,65,1,2,Washington St.
2022,7,244,ARI,Christian Matthew,DB,25,2023,0,0,0,2,2,20,0,0,0,0,0,0,0,0,0,0,0,13,,,Valdosta St.
2022,7,245,NWE,Andrew Stueber,OL,23,,0,0,0,,,,,,,,,,,,,,,,,,Michigan
2022,7,246,CLE,Dawson Deaton,OL,23,,0,0,0,,,,,,,,,,,,,,,,,,Texas Tech
2022,7,248,TAM,Andre Anthony,DE,25,,0,0,0,,,,,,,,,,,,,,,,,,LSU
2022,7,249,GNB,Rasheed Walker,OL,22,2023,0,0,0,10,10,18,0,0,0,0,0,0,0,0,0,0,0,,,,Penn St.
2016,5,143,OAK,DeAndre Washington,RB,23,2020,0,0,0,12,11,59,0,0,0,0,0,313,1213,7,93,643,1,3,,,Texas Tech
2020,4,144,SEA,DeeJay Dallas,RB,21,2023,0,0,0,6,6,61,0,1,0,0,1,112,468,4,61,396,1,12,,,Miami (FL)
2022,7,252,CIN,Jeff Gunter,OLB,23,2022,0,0,0,1,1,10,0,0,0,0,0,0,0,0,0,0,0,,,,Coastal Carolina
2022,7,253,LAR,Russ Yeast,DB,23,2023,0,0,0,4,4,32,0,0,0,0,0,0,0,0,0,0,0,53,,,Kansas St.
2022,7,254,CHI,Elijah Hicks,S,22,2023,0,0,0,4,4,32,0,0,0,0,0,0,0,0,0,0,0,35,,,California
2022,7,255,CHI,Trenton Gill,P,23,2023,0,0,1,4,4,34,0,0,0,0,0,0,0,0,0,0,0,1,,,North Carolina St.
2022,7,256,ARI,Jesse Luketa,LB,23,2023,0,0,0,1,1,21,0,0,0,0,0,0,0,0,0,0,0,7,,,Penn St.
2022,7,257,ARI,Marquis Hayes,OL,23,,0,0,0,,,,,,,,,,,,,,,,,,Oklahoma
2024,7,235,DEN,Devaughn Vele,WR,26,,0,0,0,,,,,,,,,,,,,,,,,,Utah
2022,7,259,KAN,Nazeeh Johnson,S,24,2022,0,0,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,5,,,Marshall
2021,6,211,CLE,Demetric Felton,RB,23,2022,0,0,0,2,2,24,0,0,0,0,0,8,20,0,20,189,2,3,,,UCLA
2022,7,261,LAR,AJ Arcuri,OT,25,2022,0,0,0,1,1,8,0,0,0,0,0,0,0,0,0,0,0,,,,Michigan St.
2020,7,224,TEN,Cole McDonald,QB,22,,0,0,0,,,,,,,,,,,,,,,,,,Hawaii
2016,4,100,OAK,Connor Cook,QB,23,2016,0,0,0,0,0,1,14,21,150,1,1,0,0,0,0,0,0,,,,Michigan St.
2016,4,135,DAL,Dak Prescott,QB,23,2023,0,4,6,91,91,114,2595,3873,29459,202,74,407,1884,28,1,11,1,,,,Mississippi St.
2019,1,6,NYG,Daniel Jones,QB,22,2023,0,0,4,38,38,60,1221,1900,12512,62,40,332,1914,13,1,16,0,,,,Duke
2018,7,219,NWE,Danny Etling,QB,24,,0,0,0,,,,,,,,,,,,,,,,,,LSU
2014,6,183,CHI,David Fales,QB,23,2019,0,0,0,1,0,5,31,48,287,1,1,5,8,1,0,0,0,,,,San Jose St.
2021,3,67,HOU,Davis Mills,QB,22,2023,0,0,2,15,15,34,573,912,5955,35,25,52,161,2,0,0,0,2,,,Stanford
2020,3,91,NWE,Devin Asiasi,TE,23,2022,0,0,0,0,0,22,0,0,0,0,0,0,0,0,4,44,1,,,,UCLA
2020,3,92,BAL,Devin Duvernay,WR,22,2023,1,2,1,12,12,59,0,0,0,0,0,27,219,1,94,898,5,2,,,Texas
2016,7,238,ATL,Devin Fuller,WR,22,,0,0,0,,,,,,,,,,,,,,,,,,UCLA
2021,1,7,DET,Penei Sewell,OL,20,2023,1,2,2,36,36,50,0,0,0,0,0,0,0,0,1,9,0,,,,Oregon
2021,1,8,CAR,Jaycee Horn,DB,21,2023,0,0,1,8,8,22,0,0,0,0,0,0,0,0,0,0,0,60,4,,South Carolina
2021,1,9,DEN,Patrick Surtain II,DB,21,2023,1,2,2,28,28,50,0,0,0,0,0,0,0,0,0,0,0,150,7,,Alabama
2016,7,225,NWE,Devin Lucien,WR,23,,0,0,0,,,,,,,,,,,,,,,,,,Arizona St.
2021,1,12,DAL,Micah Parsons,LB,22,2023,2,3,2,50,50,50,0,0,0,0,0,0,0,0,0,0,0,142,,40.5,Penn St.
2021,1,13,LAC,Rashawn Slater,OL,22,2023,0,1,1,23,23,36,0,0,0,0,0,0,0,0,0,0,0,,,,Northwestern
2021,1,14,NYJ,Alijah Vera-Tucker,OL,22,2023,0,0,1,8,8,28,0,0,0,0,0,0,0,0,0,0,0,,,,USC
2021,1,16,ARI,Zaven Collins,LB,22,2023,0,0,1,14,14,50,0,0,0,0,0,0,0,0,0,0,0,103,2,5.5,Tulsa
2021,1,17,LVR,Alex Leatherwood,OL,22,2022,0,0,1,8,8,21,0,0,0,0,0,0,0,0,0,0,0,,,,Alabama
2021,1,18,MIA,Jaelan Phillips,DL,22,2023,0,0,1,14,14,42,0,0,0,0,0,0,0,0,0,0,0,88,1,22,Miami (FL)
2021,1,19,WAS,Jamin Davis,LB,22,2023,0,0,1,16,16,45,0,0,0,0,0,0,0,0,0,0,0,166,1,7,Kentucky
2015,2,37,NYJ,Devin Smith,WR,23,2021,0,0,0,2,1,22,0,0,0,0,0,0,0,0,15,248,2,3,,,Ohio St.
2021,1,21,IND,Kwity Paye,DL,22,2023,0,0,2,20,20,43,0,0,0,0,0,0,0,0,0,0,0,79,,18.5,Michigan
2021,1,22,TEN,Caleb Farley,DB,22,2022,0,0,0,1,1,12,0,0,0,0,0,0,0,0,0,0,0,13,,,Virginia Tech
2021,1,23,MIN,Christian Darrisaw,OL,22,2023,0,0,1,18,18,41,0,0,0,0,0,0,0,0,0,0,0,1,,,Virginia Tech
2016,2,45,TEN,Derrick Henry,RB,22,2023,1,4,4,64,64,119,7,9,37,4,0,2030,9502,90,155,1458,3,,,,Alabama
2018,2,59,WAS,Derrius Guice,RB,21,2019,0,0,0,2,2,5,0,0,0,0,0,42,245,2,7,79,1,,,,LSU
2021,1,26,CLE,Greg Newsome II,DB,21,2023,0,0,2,13,13,41,0,0,0,0,0,0,0,0,0,0,0,98,2,1,Northwestern
2014,5,146,DAL,Devin Street,WR,23,2016,0,0,0,1,1,36,0,0,0,0,0,0,0,0,10,152,1,,,,Pittsburgh
2021,1,28,NOR,Payton Turner,DE,23,2023,0,0,0,2,2,15,0,0,0,0,0,0,0,0,0,0,0,20,,3,Houston
2021,1,29,GNB,Eric Stokes,DB,22,2023,0,0,2,7,7,28,0,0,0,0,0,0,0,0,0,0,0,69,1,,Georgia
2021,1,30,BUF,Gregory Rousseau,DL,21,2023,0,0,2,25,25,46,0,0,0,0,0,0,0,0,0,0,0,99,1,17,Miami (FL)
2021,1,31,BAL,Odafe Oweh,DE,22,2023,0,0,0,10,10,45,0,0,0,0,0,0,0,0,0,0,0,73,,13,Penn St.
2021,1,32,TAM,Joe Tryon-Shoyinka,OLB,22,2023,0,0,1,17,17,51,0,0,0,0,0,0,0,0,0,0,0,72,,13,Washington
2021,2,33,JAX,Tyson Campbell,DB,21,2023,0,0,2,15,15,43,0,0,0,0,0,0,0,0,0,0,0,145,6,,Georgia
2021,1,10,PHI,DeVonta Smith,WR,22,2023,0,0,2,32,32,50,0,0,0,0,0,0,0,0,240,3178,19,1,,,Alabama
2023,6,212,DAL,Deuce Vaughn,RB,21,2023,0,0,0,1,1,7,0,0,0,0,0,23,40,0,7,40,0,,,,Kansas St.
2021,2,36,MIA,Jevon Holland,S,21,2023,0,0,2,16,16,45,0,0,0,0,0,0,0,0,0,0,0,177,5,4,Oregon
2021,2,37,PHI,Landon Dickerson,OL,22,2023,0,2,2,23,23,47,0,0,0,0,0,0,0,0,0,0,0,1,,,Alabama
2021,2,38,NWE,Christian Barmore,DL,22,2023,0,0,0,10,10,44,0,0,0,0,0,0,0,0,0,0,0,74,,12.5,Alabama
2021,2,39,CHI,Teven Jenkins,OL,23,2023,0,0,1,11,11,31,0,0,0,0,0,0,0,0,0,0,0,1,,,Oklahoma St.
2021,2,40,ATL,Richie Grant,DB,23,2023,0,0,1,13,13,50,0,0,0,0,0,0,0,0,0,0,0,164,3,3,Central Florida
2021,2,41,DET,Levi Onwuzurike,DL,23,2023,0,0,0,2,2,26,0,0,0,0,0,0,0,0,0,0,0,19,,2,Washington
2021,2,42,MIA,Liam Eichenberg,OL,23,2023,0,0,2,18,18,43,0,0,0,0,0,0,0,0,0,0,0,,,,Notre Dame
2021,2,43,LVR,Tre'von Moehrig,S,22,2023,0,0,2,14,14,49,0,0,0,0,0,0,0,0,0,0,0,138,4,2,TCU
2021,2,44,DAL,Kelvin Joseph,DB,20,2023,0,0,0,2,2,31,0,0,0,0,0,0,0,0,0,0,0,33,,,Kentucky
2021,2,45,JAX,Walker Little,T,22,2023,0,0,0,9,9,40,0,0,0,0,0,0,0,0,0,0,0,,,,Stanford
2021,2,46,CIN,Jackson Carman,T,21,2023,0,0,0,4,4,22,0,0,0,0,0,0,0,0,0,0,0,,,,Clemson
2021,2,47,LAC,Asante Samuel Jr.,DB,21,2023,0,0,2,13,13,46,0,0,0,0,0,0,0,0,0,0,0,137,6,,Florida St.
2021,2,48,SFO,Aaron Banks,OL,24,2023,0,0,1,15,15,40,0,0,0,0,0,0,0,0,0,0,0,,,,Notre Dame
2024,4,113,BAL,Devontez Walker,WR,23,,0,0,0,,,,,,,,,,,,,,,,,,North Carolina
2021,2,50,NYG,Azeez Ojulari,OLB,21,2023,0,0,1,14,14,35,0,0,0,0,0,0,0,0,0,0,0,47,,16,Georgia
2021,2,51,WAS,Samuel Cosmi,OL,22,2023,0,0,0,15,15,40,0,0,0,0,0,0,0,0,0,0,0,,,,Texas
2021,2,52,CLE,Jeremiah Owusu-Koramoah,LB,21,2023,0,1,1,18,18,41,0,0,0,0,0,0,0,0,0,0,0,166,2,5,Notre Dame
2021,2,53,TEN,Dillon Radunz,T,23,2023,0,0,0,7,7,39,0,0,0,0,0,0,0,0,0,0,0,1,,,North Dakota St.
2021,2,54,IND,Dayo Odeyingbo,DL,21,2023,0,0,0,7,7,44,0,0,0,0,0,0,0,0,0,0,0,45,,13.5,Vanderbilt
2024,7,246,TAM,Devin Culp,TE,,,0,0,0,,,,,,,,,,,,,,,,,,Washington
2021,4,109,TEN,Dez Fitzpatrick,WR,23,2023,0,0,0,0,0,6,0,0,0,0,0,0,0,0,5,49,1,1,,,Louisville
2015,7,234,BUF,Dezmin Lewis,WR,22,2016,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,Central Arkansas
2021,2,58,KAN,Nick Bolton,LB,21,2023,0,0,2,16,16,41,0,0,0,0,0,0,0,0,0,0,0,216,3,2,Missouri
2020,6,212,IND,Dezmon Patmon,WR,22,2022,0,0,0,0,0,10,0,0,0,0,0,0,0,0,4,45,1,,,,Washington St.
2021,2,60,NOR,Pete Werner,LB,22,2023,0,0,1,18,18,43,0,0,0,0,0,0,0,0,0,0,0,152,1,0.5,Ohio St.
2021,2,61,BUF,Boogie Basham,DL,23,2023,0,0,0,4,3,36,0,0,0,0,0,0,0,0,0,0,0,25,1,4.5,Wake Forest
2021,2,62,GNB,Josh Myers,C,23,2023,0,0,1,20,20,40,0,0,0,0,0,0,0,0,0,0,0,,,,Ohio St.
2021,2,63,KAN,Creed Humphrey,OL,22,2023,0,2,2,30,30,51,0,0,0,0,0,0,0,0,0,0,0,1,,,Oklahoma
2021,3,65,JAX,Andre Cisco,DB,21,2023,0,0,1,14,14,47,0,0,0,0,0,0,0,0,0,0,0,110,7,1.5,Syracuse
2021,3,68,ATL,Jalen Mayfield,OL,21,2023,0,0,1,7,7,19,0,0,0,0,0,0,0,0,0,0,0,,,,Michigan
2021,3,69,CIN,Joseph Ossai,LB,21,2023,0,0,0,4,4,30,0,0,0,0,0,0,0,0,0,0,0,12,,4.5,Texas
2021,3,70,CAR,Brady Christensen,OL,24,2023,0,0,1,10,10,34,0,0,0,0,0,0,0,0,0,0,0,1,,,BYU
2021,3,71,NYG,Aaron Robinson,DB,23,2022,0,0,0,2,2,11,0,0,0,0,0,0,0,0,0,0,0,21,,,Central Florida
2021,3,72,DET,Alim McNeill,DT,21,2023,0,0,1,13,13,47,0,0,0,0,0,0,0,0,0,0,0,49,,8,North Carolina St.
2021,3,73,PHI,Milton Williams,DL,22,2023,0,0,0,7,7,50,0,0,0,0,0,0,0,0,0,0,0,55,,6.5,Louisiana Tech
2021,3,74,WAS,Benjamin St-Juste,DB,23,2023,0,0,1,9,9,37,0,0,0,0,0,0,0,0,0,0,0,106,1,3,Minnesota
2021,3,75,DAL,Osa Odighizuwa,DL,23,2023,0,0,2,21,21,50,0,0,0,0,0,0,0,0,0,0,0,74,,9,UCLA
2021,3,76,NOR,Paulson Adebo,CB,22,2023,0,0,2,16,16,45,0,0,0,0,0,0,0,0,0,0,0,166,7,,Stanford
2019,7,239,MIN,Dillon Mitchell,WR,22,,0,0,0,,,,,,,,,,,,,,,,,,Oregon
2021,3,78,MIN,Chazz Surratt,LB,24,2023,0,0,0,2,1,24,0,0,0,0,0,0,0,0,0,0,0,7,,,North Carolina
2021,3,79,LVR,Malcolm Koonce,DE,23,2023,0,0,0,7,7,39,0,0,0,0,0,0,0,0,0,0,0,40,,10,Buffalo
2021,3,80,LVR,Divine Deablo,DB,23,2023,0,0,0,14,14,40,0,0,0,0,0,0,0,0,0,0,0,131,,1,Virginia Tech
2015,2,41,CAR,Devin Funchess,TE,21,2019,0,0,2,20,20,62,0,0,0,0,0,0,0,0,164,2265,21,,,,Michigan
2019,3,66,PIT,Diontae Johnson,WR,23,2023,0,1,4,33,33,77,0,0,0,0,0,19,134,0,391,4363,25,2,,,Toledo
2019,2,52,CIN,Drew Sample,TE,23,2023,0,0,1,5,5,61,0,0,0,0,0,0,0,0,80,621,3,1,,,Washington
2021,3,84,DAL,Chauncey Golston,DL,23,2023,0,0,0,6,6,47,0,0,0,0,0,0,0,0,0,0,0,38,,3.5,Iowa
2018,2,61,JAX,DJ Chark,WR,21,2023,0,1,3,21,13,69,0,0,0,0,0,2,20,0,212,3069,23,6,,,LSU
2021,3,86,MIN,Wyatt Davis,OL,22,2022,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,,,,Ohio St.
2021,3,87,PIT,Kendrick Green,OL,22,2023,0,0,1,6,5,19,0,0,0,0,0,0,0,0,0,0,0,1,,,Illinois
2017,7,238,GNB,Devante Mays,RB,23,2017,0,0,0,0,0,8,0,0,0,0,0,4,1,0,3,0,0,,,,Utah St.
2020,6,187,CLE,Donovan Peoples-Jones,WR,21,2023,0,0,1,18,17,58,0,0,0,0,0,1,2,0,122,1895,8,2,,,Michigan
2021,3,90,MIN,Patrick Jones II,DL,22,2023,0,0,0,5,5,42,0,0,0,0,0,0,0,0,0,0,0,42,,5,Pittsburgh
2023,5,159,GNB,Dontayvion Wicks,WR,22,2023,0,0,0,6,6,15,1,1,14,0,0,1,1,0,39,581,4,,,,Virginia
2021,3,92,TEN,Monty Rice,LB,22,2023,0,0,0,6,6,35,0,0,0,0,0,0,0,0,0,0,0,70,,,Georgia
2021,3,93,BUF,Spencer Brown,OL,23,2023,0,0,1,24,24,44,0,0,0,0,0,0,0,0,0,0,0,1,,,Northern Iowa
2021,3,94,BAL,Ben Cleveland,OL,23,2023,0,0,0,5,5,37,0,0,0,0,0,0,0,0,0,0,0,,,,Georgia
2021,3,95,TAM,Robert Hainsey,OL,23,2023,0,0,1,14,14,43,0,0,0,0,0,0,0,0,0,-3,0,,,,Notre Dame
2021,3,96,NWE,Ronnie Perkins,DE,21,2023,0,0,0,0,,7,0,0,0,0,0,0,0,0,0,0,0,9,,,Oklahoma
2018,4,123,MIA,Durham Smythe,TE,23,2023,0,0,4,10,10,95,0,0,0,0,0,4,4,1,123,1175,3,10,,,Notre Dame
2021,3,98,DEN,Quinn Meinerz,C,22,2023,0,0,1,14,14,45,0,0,0,0,0,0,0,0,0,0,0,1,,,Wisconsin–Whitewater
2021,3,99,DAL,Nahshon Wright,DB,22,2023,0,0,0,2,2,32,0,0,0,0,0,0,0,0,0,0,0,27,1,,Oregon St.
2021,3,100,TEN,Elijah Molden,DB,22,2023,0,0,0,7,7,33,0,0,0,0,0,0,0,0,0,0,0,94,2,,Washington
2021,3,101,DET,Ifeatu Melifonwu,DB,22,2023,0,0,0,5,5,34,0,0,0,0,0,0,0,0,0,0,0,45,2,3.5,Syracuse
2021,3,102,SFO,Ambry Thomas,DB,21,2023,0,0,0,6,6,42,0,0,0,0,0,0,0,0,0,0,0,61,2,,Michigan
2021,3,103,LAR,Ernest Jones,LB,21,2023,0,0,1,14,14,47,0,0,0,0,0,0,0,0,0,0,0,176,3,5.5,South Carolina
2021,3,104,BAL,Brandon Stephens,CB,23,2023,0,0,1,13,13,48,0,0,0,0,0,0,0,0,0,0,0,137,2,0.5,SMU
2021,3,105,DEN,Baron Browning,LB,22,2023,0,0,0,14,14,38,0,0,0,0,0,0,0,0,0,0,0,65,1,9.5,Ohio St.
2021,4,106,JAX,Jay Tufele,DL,22,2023,0,0,0,2,0,21,0,0,0,0,0,0,0,0,0,0,0,11,,,USC
2019,3,74,BUF,Devin Singletary,RB,22,2023,0,0,4,34,28,78,1,1,6,1,0,888,4049,20,175,1164,4,3,,,Florida Atlantic
2021,4,108,ATL,Darren Hall,CB,21,2022,0,0,1,4,4,31,0,0,0,0,0,0,0,0,0,0,0,50,,1,San Diego St.
2014,3,90,IND,Donte Moncrief,WR,21,2020,0,0,3,18,15,83,0,0,0,0,0,6,20,0,205,2576,21,1,,,Mississippi
2021,4,110,CLE,James Hudson,OL,22,2023,0,0,0,7,7,45,0,0,0,0,0,0,0,0,0,0,0,,,,Cincinnati
2021,4,111,CIN,Cameron Sample,DE,21,2023,0,0,0,5,5,47,0,0,0,0,0,0,0,0,0,0,0,44,,5,Tulane
2015,2,40,TEN,Dorial Green-Beckham,WR,22,2016,0,0,0,7,4,31,0,0,0,0,0,0,0,0,68,941,6,,,,Oklahoma
2021,4,113,DET,Derrick Barnes,DE,22,2023,0,0,0,10,10,48,0,0,0,0,0,0,0,0,0,0,0,111,,4,Purdue
2021,4,114,ATL,Drew Dalman,C,22,2023,0,0,1,13,13,48,0,0,0,0,0,0,0,0,0,0,0,1,,,Stanford
2021,4,115,DAL,Jabril Cox,LB,23,2023,0,0,0,3,2,26,0,0,0,0,0,0,0,0,0,0,0,7,,,LSU
2021,4,116,NYG,Elerson Smith,DL,23,2022,0,0,0,1,1,13,0,0,0,0,0,0,0,0,0,0,0,3,,,Northern Iowa
2021,4,117,LAR,Bobby Brown,DL,21,2023,0,0,0,7,7,32,0,0,0,0,0,0,0,0,0,0,0,21,,0.5,Texas A&M
2021,4,118,LAC,Chris Rumph,DE,22,2023,0,0,0,3,3,37,0,0,0,0,0,0,0,0,0,0,0,19,,3,Duke
2014,4,103,ATL,Devonta Freeman,RB,22,2021,0,2,4,49,45,98,0,0,0,0,0,1138,4720,38,298,2263,12,4,,,Florida St.
2016,4,136,DEN,Devontae Booker,RB,24,2021,0,0,0,19,11,93,0,0,0,0,0,527,2119,11,162,1224,2,7,,,Utah
2021,4,121,JAX,Jordan Smith,OLB,23,2021,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,,,Ala-Birmingham
2021,4,122,CIN,Tyler Shelvin,DT,23,2022,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,,,LSU
2021,4,123,PHI,Zech McPhearson,DB,23,2022,0,0,0,2,2,33,0,0,0,0,0,0,0,0,0,0,0,19,,1,Texas Tech
2014,1,10,DET,Eric Ebron,TE,21,2021,0,1,4,29,15,106,0,1,0,0,0,5,-6,3,351,3837,33,,,,North Carolina
2021,4,125,MIN,Camryn Bynum,CB,23,2023,0,0,1,14,14,48,0,0,0,0,0,0,0,0,0,0,0,163,5,1.5,California
2023,7,222,MIN,DeWayne McBride,RB,22,,0,0,0,,,,,,,,,,,,,,,,,,Ala-Birmingham
2017,5,174,ATL,Eric Saubert,TE,23,2023,0,0,0,1,0,84,0,0,0,0,0,0,0,0,36,292,2,9,,,Drake
2021,4,128,PIT,Dan Moore,OL,22,2023,0,0,2,21,21,49,0,0,0,0,0,0,0,0,0,0,0,,,,Texas A&M
2022,1,8,ATL,Drake London,WR,21,2023,0,0,1,16,16,33,1,1,22,0,0,0,0,0,141,1771,6,2,,,USC
2021,4,130,LAR,Robert Rochell,DB,23,2023,0,0,0,3,3,37,0,0,0,0,0,0,0,0,0,0,0,20,1,,Central Arkansas
2014,3,97,PIT,Dri Archer,WR,23,2015,0,0,0,0,0,20,0,0,0,0,0,10,40,0,7,23,0,,,,Kent St.
2021,4,132,CLE,Tommy Togiai,DT,21,2022,0,0,0,2,2,18,0,0,0,0,0,0,0,0,0,0,0,12,,1,Ohio St.
2021,4,134,MIN,Janarius Robinson,DE,22,2023,0,0,0,1,,6,0,0,0,0,0,0,0,0,0,0,0,5,,1,Florida St.
2021,4,135,TEN,Rashad Weaver,DL,23,2023,0,0,0,5,5,33,0,0,0,0,0,0,0,0,0,0,0,29,,5.5,Pittsburgh
2021,4,136,ARI,Marco Wilson,CB,22,2023,0,0,2,12,12,44,0,0,0,0,0,0,0,0,0,0,0,125,3,,Florida
2021,4,137,SEA,Tre Brown,CB,23,2023,0,0,0,4,4,26,0,0,0,0,0,0,0,0,0,0,0,42,2,1,Oklahoma
2021,4,138,DAL,Josh Ball,OL,23,2022,0,0,0,1,1,13,0,0,0,0,0,0,0,0,0,0,0,,,,Marshall
2021,4,139,CIN,D'Ante Smith,T,23,2022,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,,,,East Carolina
2021,4,140,PIT,Buddy Johnson,LB,22,2023,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,5,,,Texas A&M
2021,3,82,WAS,Dyami Brown,WR,21,2023,0,0,0,3,3,47,1,1,4,0,0,3,11,0,29,476,3,4,,,North Carolina
2021,4,142,GNB,Royce Newman,G,24,2023,0,0,1,14,14,51,0,0,0,0,0,0,0,0,0,0,0,1,,,Mississippi
2021,4,143,LVR,Tyree Gillespie,S,23,2022,0,0,0,1,1,14,0,0,0,0,0,0,0,0,0,0,0,1,,,Missouri
2021,4,144,KAN,Joshua Kaindoh,DE,22,2021,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,Florida St.
2024,4,115,CIN,Erick All,TE,23,,0,0,0,,,,,,,,,,,,,,,,,,Iowa
2021,5,146,NYJ,Jamien Sherwood,DB,21,2023,0,0,0,4,4,39,0,0,0,0,0,0,0,0,0,0,0,48,,0.5,Auburn
2017,1,23,NYG,Evan Engram,TE,23,2023,0,2,6,33,18,99,0,0,0,0,0,16,93,1,449,4557,24,2,,,Mississippi
2021,5,148,ATL,Ta'Quon Graham,DL,22,2023,0,0,1,8,8,39,0,0,0,0,0,0,0,0,0,0,0,29,,1,Texas
2021,5,149,CIN,Evan McPherson,K,22,2023,0,0,1,11,11,49,0,0,0,0,0,0,0,0,0,0,0,1,,,Florida
2019,6,194,GNB,Dexter Williams,RB,22,2020,0,0,0,0,0,7,0,0,0,0,0,7,19,0,0,0,0,,,,Notre Dame
2021,5,151,CHI,Larry Borom,OL,22,2023,0,0,1,12,12,39,0,0,0,0,0,0,0,0,0,0,0,,,,Missouri
2021,5,152,DEN,Caden Sterns,DB,21,2023,0,0,0,3,3,21,0,0,0,0,0,0,0,0,0,0,0,36,4,2,Texas
2021,5,153,CLE,Tony Fields,LB,22,2023,0,0,0,9,9,44,0,0,0,0,0,0,0,0,0,0,0,47,1,,West Virginia
2021,5,154,NYJ,Michael Carter,S,22,2023,0,0,0,9,9,47,0,0,0,0,0,0,0,0,0,0,0,132,2,1,Duke
2021,5,155,SFO,Jaylon Moore,T,23,2023,0,0,0,6,6,40,0,0,0,0,0,0,0,0,0,0,0,,,,Western Michigan
2021,5,156,PIT,Isaiahh Loudermilk,DE,23,2023,0,0,0,5,5,42,0,0,0,0,0,0,0,0,0,0,0,28,,1,Wisconsin
2018,6,191,LAC,Dylan Cantrell,WR,24,,0,0,0,,,,,,,,,,,,,,,,,,Texas Tech
2021,5,158,CAR,Daviyon Nixon,DT,22,2022,0,0,0,1,1,14,0,0,0,0,0,0,0,0,0,0,0,4,,0.5,Iowa
2021,5,159,LAC,Brenden Jaimes,OL,22,2023,0,0,0,4,4,37,0,0,0,0,0,0,0,0,0,0,0,,,,Nebraska
2021,5,160,BAL,Shaun Wade,CB,22,2023,0,0,0,3,,20,0,0,0,0,0,0,0,0,0,0,0,23,,,Ohio St.
2021,5,161,BUF,Tommy Doyle,OL,23,2022,0,0,0,1,1,12,0,0,0,0,0,0,0,0,0,0,0,,,,Miami (OH)
2019,4,137,OAK,Foster Moreau,TE,22,2023,0,0,3,10,9,76,0,0,0,0,0,0,2,0,112,1300,13,6,,,LSU
2021,5,163,WAS,Darrick Forrest,S,22,2023,0,0,1,6,6,30,0,0,0,0,0,0,0,0,0,0,0,78,4,,Cincinnati
2021,5,164,DEN,Jamar Johnson,DB,21,2021,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,Indiana
2021,5,165,IND,Shawn Davis,DB,22,2021,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,,,,Florida
2021,5,166,CAR,Keith Taylor,DB,22,2022,0,0,0,4,4,34,0,0,0,0,0,0,0,0,0,0,0,55,,,Washington
2021,5,167,LVR,Nate Hobbs,CB,22,2023,0,0,1,10,10,40,0,0,0,0,0,0,0,0,0,0,0,167,2,3,Illinois
2015,7,246,DAL,Geoff Swaim,TE,21,2023,0,0,3,6,3,100,0,0,0,0,0,0,0,0,110,846,6,3,,,Texas
2021,5,169,CLE,Richard LeCounte,DB,22,2023,0,0,0,1,1,12,0,0,0,0,0,0,0,0,0,0,0,2,,,Georgia
2021,5,170,HOU,Garret Wallow,LB,22,2023,0,0,0,4,4,35,0,0,0,0,0,0,0,0,0,0,0,26,,1,TCU
2021,5,171,BAL,Daelin Hayes,DL,23,2021,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,Notre Dame
2021,5,172,SFO,Deommodore Lenoir,CB,21,2023,0,0,1,11,11,47,0,0,0,0,0,0,0,0,0,0,0,124,4,1,Oregon
2021,5,173,GNB,Tedarrell Slaton,DL,23,2023,0,0,0,10,10,51,0,0,0,0,0,0,0,0,0,0,0,52,,1,Florida
2021,5,174,LAR,Earnest Brown IV,DE,22,2023,0,0,0,1,1,12,0,0,0,0,0,0,0,0,0,0,0,5,,,Northwestern
2021,5,175,NYJ,Jason Pinnock,CB,22,2023,0,0,0,8,1,42,0,0,0,0,0,0,0,0,0,0,0,103,2,3.5,Pittsburgh
2021,5,176,TAM,K.J. Britt,LB,22,2023,0,0,0,5,5,45,0,0,0,0,0,0,0,0,0,0,0,28,,,Auburn
