Season,Rank,Player,School,Power5,Conference,Division,Cl,Pos,G,Rec,Rec Yds,Rec TD
2021,172,Malik Washington,Northwestern,Y,Big Ten,FBS,Jr.,WR,12,44,578,2
2021,69,Malik Williams,App State,N,Sun Belt,FBS,Sr.,WR,14,52,819,7
2020,92,Malik Williams,App State,N,Sun Belt,FBS,Sr.,WR,11,41,536,3
2019,175,Malik Williams,App State,N,Sun Belt,FBS,Jr.,WR,14,55,598,4
2017,93,Manassah Bailey,Morgan St.,N,MEAC,FCS,So.,WR,11,37,610,6
2019,31,Manasseh Bailey,Morgan St.,N,MEAC,FCS,Sr.,WR,12,53,976,10
2013,307,Manasseh Garner,Pittsburgh,Y,ACC,FBS,Jr.,TE,13,33,391,3
2013,245,Marcel Caver,Youngstown St.,N,MVFC,FCS,So.,WR,10,21,393,3
2013,343,Marcel Jensen,Fresno St.,N,Mountain West,FBS,Sr.,TE,13,26,353,3
2017,13,Marcell Ateman,Oklahoma St.,Y,Big 12,FBS,Sr.,WR,13,59,1156,8
2015,88,Marcell Ateman,Oklahoma St.,Y,Big 12,FBS,Jr.,WR,13,45,766,5
2020,75,Marcell Barbee,Texas St.,N,Sun Belt,FBS,Jr.,WR,12,40,584,10
2018,181,Marcus Armstrong-Brown,Hawaii,N,Mountain West,FBS,Sr.,WR,14,50,573,2
2020,78,Marcus Cooper,Southeastern La.,N,Southland,FCS,Jr.,RB,7,32,329,2
2018,66,Marcus Green,ULM,N,Sun Belt,FBS,Sr.,WR,12,50,855,8
2017,62,Marcus Green,ULM,N,Sun Belt,FBS,Jr.,WR,12,54,829,5
2015,118,Marcus Green,ULM,N,Sun Belt,FBS,Fr.,WR,12,63,698,7
2014,197,Marcus Henry,Middle Tenn.,N,CUSA,FBS,Sr.,WR,12,40,527,4
2013,191,Marcus Henry,Middle Tenn.,N,CUSA,FBS,Jr.,WR,13,38,549,3
2013,347,Marcus Johnson,Texas,Y,Big 12,FBS,So.,WR,11,22,350,2
2016,30,Marcus Kemp,Hawaii,N,Mountain West,FBS,Sr.,WR,14,73,1100,8
2015,198,Marcus Kemp,Hawaii,N,Mountain West,FBS,Jr.,WR,13,36,563,2
2014,72,Marcus Kemp,Hawaii,N,Mountain West,FBS,So.,WR,13,56,797,3
2013,123,Marcus Lucas,Missouri,Y,SEC,FBS,Sr.,WR,14,58,692,3
2013,309,Marcus Mason,Washington St.,Y,Pac-12,FBS,Jr.,RB,13,52,390,2
2016,188,Marcus McGill,Buffalo,N,MAC,FBS,Sr.,WR,12,40,573,0
2015,186,Marcus McGill,Buffalo,N,MAC,FBS,Sr.,WR,12,50,581,4
2023,93,Marcus Riley,Florida A&M,N,SWAC,FCS,Sr.,WR,12,34,584,5
2022,128,Marcus Riley,Bethune-Cookman,N,SWAC,FCS,Jr.,QB,11,38,544,5
