Season,Rank,Player,School,Power5,Conference,Division,Cl,Pos,G,Rec,Rec Yds,Rec TD
2013,204,A.C. Leonard,Tennessee St.,N,OVC,FCS,Jr.,TE,12,34,441,5
2018,7,A.J. Brown,Ole Miss,Y,SEC,FBS,Jr.,WR,12,85,1320,6
2017,10,A.J. Brown,Ole Miss,Y,SEC,FBS,So.,WR,12,75,1252,11
2017,186,A.J. Coney,Akron,N,MAC,FBS,Sr.,WR,14,43,551,3
2014,107,A.J. Johnson,Indiana St.,N,MVFC,FCS,Sr.,WR,12,48,633,4
2018,74,A.J. Richardson,Boise St.,N,Mountain West,FBS,Sr.,WR,13,54,825,8
2020,46,A.J. Toney,Samford,N,SoCon,FCS,So.,WR,7,41,437,1
2022,16,A.T. Perry,Wake Forest,Y,ACC,FBS,Jr.,WR,13,81,1096,11
2021,13,A.T. Perry,Wake Forest,Y,ACC,FBS,So.,WR,14,71,1293,15
2018,174,Aaren Vaughns,Utah St.,N,Mountain West,FBS,Sr.,WR,13,33,581,5
2020,121,Aaron Alston,Southeast Mo. St.,N,OVC,FCS,Jr.,WR,6,18,256,0
2019,97,Aaron Alston,Southeast Mo. St.,N,OVC,FCS,So.,WR,13,51,687,4
2018,112,Aaron Blockmon,Campbell,N,Big South,FCS,Sr.,WR,11,42,580,3
2016,15,Aaron Blockmon,Campbell,N,Pioneer,FCS,So.,WR,10,53,1034,10
2013,227,Aaron Bradley,Nevada,N,Mountain West,FBS,Jr.,WR,10,40,474,2
2015,16,Aaron Burbridge,Michigan St.,Y,Big Ten,FBS,Sr.,WR,14,85,1258,7
2013,397,Aaron Burks,Boise St.,N,Mountain West,FBS,Sr.,WR,11,18,309,3
2018,186,Aaron Cephus,Rice,N,CUSA,FBS,So.,WR,11,40,565,5
2017,146,Aaron Cephus,Rice,N,CUSA,FBS,Fr.,WR,11,25,622,5
2023,84,Aaron Fontes,Montana,N,Big Sky,FCS,Jr.,WR,14,48,617,5
2019,116,Aaron Fuller,Washington,Y,Pac-12,FBS,Sr.,WR,13,59,702,6
2018,62,Aaron Fuller,Washington,Y,Pac-12,FBS,Jr.,WR,14,58,874,4
2018,67,Aaron Gooch,Eastern Ill.,N,OVC,FCS,Sr.,WR,11,65,695,5
2017,130,Aaron Moore,UC Davis,N,Big Sky,FCS,So.,WR,11,39,523,5
2019,6,Aaron Parker,Rhode Island,N,CAA,FCS,Sr.,WR,12,81,1224,9
2018,24,Aaron Parker,Rhode Island,N,CAA,FCS,Jr.,WR,11,61,955,10
2017,41,Aaron Parker,Rhode Island,N,CAA,FCS,So.,WR,11,51,823,7
2016,158,Aaron Peck,Fresno St.,N,Mountain West,FBS,Sr.,WR,11,46,630,3
2016,59,Aaron Sanders,VMI,N,SoCon,FCS,Sr.,WR,11,76,747,3
2015,33,Aaron Sanders,VMI,N,SoCon,FCS,Jr.,WR,11,84,892,2
2014,40,Aaron Sanders,VMI,N,SoCon,FCS,So.,WR,12,58,901,4
2014,82,Aaron Thomas,SFA,N,Southland,FCS,Jr.,WR,13,52,694,2
2013,82,Aaron Thomas,SFA,N,Southland,FCS,So.,WR,11,40,719,4
2022,116,Abdul Janneh,Duquesne,N,NEC,FCS,So.,WR,11,43,579,9
2021,15,Abdul-Fatai Ibrahim,Alabama A&M,N,SWAC,FCS,Jr.,WR,10,67,1008,8
2020,76,Abdul-Fatai Ibrahim,Alabama A&M,N,SWAC,FCS,So.,WR,4,24,338,3
2019,25,Abdul-Fatai Ibrahim,Alabama A&M,N,SWAC,FCS,Fr.,WR,11,59,1004,11
2023,149,Aboraa Kwarteng,Sacred Heart,N,NEC,FCS,So.,WR,10,43,472,1
2018,60,Adam Anderson,South Dakota St.,N,MVFC,FCS,Jr.,WR,13,47,718,7
2017,81,Adam Breneman,Massachusetts,N,FBS Independent,FBS,Sr.,TE,11,64,764,4
2016,85,Adam Breneman,Massachusetts,N,FBS Independent,FBS,Jr.,TE,12,70,808,8
2014,5,Adam Drake,Eastern Ill.,N,OVC,FCS,Sr.,WR,12,93,1321,12
2013,5,Adam Drake,Eastern Ill.,N,OVC,FCS,Jr.,WR,14,85,1305,13
2013,222,Adam Humphries,Clemson,Y,ACC,FBS,Jr.,WR,13,41,483,2
2013,266,Adam Shapiro,New Mexico St.,N,FBS Independent,FBS,Jr.,WR,12,35,431,2
2019,45,Adam Trautman,Dayton,N,Pioneer,FCS,Sr.,TE,11,70,916,14
2018,102,Adam Trautman,Dayton,N,Pioneer,FCS,Sr.,TE,11,41,604,9
2017,122,Adam Trautman,Dayton,N,Pioneer,FCS,Jr.,TE,11,43,537,5
2023,58,Adonai Mitchell,Texas,Y,Big 12,FBS,Jr.,WR,14,55,845,11
2017,86,Adonis Jennings,Temple,N,AAC,FBS,Sr.,WR,13,42,742,7
2014,97,Adrian Coxson,Stony Brook,N,CAA,FCS,Sr.,WR,12,43,664,6
2013,145,Adrian Coxson,Stony Brook,N,CAA,FCS,Jr.,WR,10,31,544,3
2020,143,Adrian Hardy,Louisiana Tech,N,CUSA,FBS,Sr.,WR,7,33,440,4
2018,20,Adrian Hardy,Louisiana Tech,N,CUSA,FBS,So.,WR,13,75,1145,6
2013,290,Adrian Riley,Jacksonville,N,Pioneer,FCS,Sr.,WR,11,26,352,3
2014,135,Adrian Wilkins,N.C. Central,N,MEAC,FCS,Jr.,WR,11,51,560,3
2013,212,Adrian Wilkins,N.C. Central,N,MEAC,FCS,So.,WR,11,37,432,2
2021,115,Ahmad Edwards,Jacksonville St.,N,ASUN,FCS,Jr.,WR,11,45,561,5
2020,98,Ahmad Edwards,Jacksonville St.,N,OVC,FCS,So.,WR,12,17,284,3
2019,132,Ahmere Dorsey,Rhode Island,N,CAA,FCS,Sr.,WR,12,43,605,4
2016,50,Ahmmon Richards,Miami (FL),Y,ACC,FBS,Fr.,WR,13,49,934,3
2023,103,Aidan Twombly,VMI,N,SoCon,FCS,Sr.,TE,11,38,558,3
2023,74,Ainias Smith,Texas A&M,Y,SEC,FBS,Sr.,WR,12,53,795,2
2020,84,Ainias Smith,Texas A&M,Y,SEC,FBS,So.,RB,10,43,564,6
2023,95,AJ Barber,Princeton,N,Ivy League,FCS,Jr.,WR,10,42,582,3
2015,112,Ajalen Holley,ULM,N,Sun Belt,FBS,Jr.,WR,12,60,709,6
2014,57,Ajalen Holley,ULM,N,Sun Belt,FBS,So.,WR,12,57,863,7
2013,359,Akeem Hunt,Purdue,Y,Big Ten,FBS,Jr.,RB,12,38,340,2
2019,83,Akile Davis,Northwestern St.,N,Southland,FCS,Sr.,WR,12,59,762,4
2016,106,Al Riles,Louisiana,N,Sun Belt,FBS,Sr.,WR,13,60,729,2
2021,54,Alec Pierce,Cincinnati,N,AAC,FBS,Sr.,WR,14,52,884,7
2019,141,Alec Pierce,Cincinnati,N,AAC,FBS,So.,WR,14,37,652,2
2022,67,Alex Adams,Akron,N,MAC,FBS,So.,WR,11,63,856,9
2013,37,Alex Amidon,Boston College,Y,ACC,FBS,Sr.,WR,13,77,1032,5
2013,169,Alex Bayer,Bowling Green,N,MAC,FBS,Sr.,TE,14,37,593,4
2015,41,Alex Erickson,Wisconsin,Y,Big Ten,FBS,Sr.,WR,13,77,978,3
2014,76,Alex Erickson,Wisconsin,Y,Big Ten,FBS,So.,WR,14,55,772,3
2015,93,Alex Greenawalt,Colgate,N,Patriot,FCS,So.,WR,14,40,598,5
2014,101,Alex Holmes,Northern Ariz.,N,Big Sky,FCS,Jr.,WR,12,46,655,3
2013,321,Alex Holmes,Northern Ariz.,N,Big Sky,FCS,So.,WR,12,40,329,3
2016,141,Alex Jette,Brown,N,Ivy League,FCS,Sr.,WR,10,54,518,3
2015,22,Alex Jette,Brown,N,Ivy League,FCS,Jr.,WR,10,68,928,4
2021,106,Alex Kuzy,Cornell,N,Ivy League,FCS,Sr.,WR,10,43,583,2
2013,39,Alex Neutz,Buffalo,N,MAC,FBS,Sr.,WR,13,61,1024,12
2014,144,Alex Toureen,Portland St.,N,Big Sky,FCS,Sr.,WR,12,37,541,2
2018,19,Alex Wesley,Northern Colo.,N,Big Sky,FCS,Sr.,WR,10,57,1050,4
2017,17,Alex Wesley,Northern Colo.,N,Big Sky,FCS,Jr.,WR,10,55,1010,6
2018,15,Alexander Hollins,Eastern Ill.,N,OVC,FCS,Sr.,WR,11,79,1090,16
2017,68,Alexander Hollins,Eastern Ill.,N,OVC,FCS,Jr.,WR,11,47,694,7
2017,56,Alfonso Onunwor,Idaho,N,Sun Belt,FBS,Sr.,WR,11,64,856,8
2023,143,Alfred Jordan Jr.,Idaho St.,N,Big Sky,FCS,Jr.,WR,11,44,479,3
2022,37,Ali Jennings,Old Dominion,N,Sun Belt,FBS,Jr.,WR,9,54,959,9
2021,32,Ali Jennings,Old Dominion,N,CUSA,FBS,So.,WR,13,62,1066,5
2013,21,Allen Hurns,Miami (FL),Y,ACC,FBS,Sr.,WR,13,62,1162,6
2017,41,Allen Lazard,Iowa St.,Y,Big 12,FBS,Sr.,WR,13,71,941,10
2016,35,Allen Lazard,Iowa St.,Y,Big 12,FBS,Jr.,WR,12,69,1018,7
2015,78,Allen Lazard,Iowa St.,Y,Big 12,FBS,So.,WR,11,56,808,6
2014,155,Allen Lazard,Iowa St.,Y,Big 12,FBS,Fr.,WR,12,45,593,3
2013,324,Allen Muse,Arkansas St.,N,Sun Belt,FBS,Sr.,WR,13,29,370,2
2013,6,Allen Robinson,Penn St.,Y,Big Ten,FBS,Jr.,WR,12,97,1432,6
2016,23,Allenzae Staggers,Southern Miss.,N,CUSA,FBS,Jr.,WR,13,63,1165,7
2015,157,Alonzo Russell,Toledo,N,MAC,FBS,Sr.,WR,12,36,618,5
2014,79,Alonzo Russell,Toledo,N,MAC,FBS,Jr.,WR,13,51,770,8
2013,114,Alonzo Russell,Toledo,N,MAC,FBS,So.,WR,12,59,728,6
2014,139,Alton Howard,Tennessee,Y,SEC,FBS,Jr.,WR,13,54,618,1
2013,312,Alton Howard,Tennessee,Y,SEC,FBS,So.,WR,12,44,388,3
2016,148,Alvin Bailey,Youngstown St.,N,MVFC,FCS,Jr.,WR,15,47,511,5
2023,131,Amad Anderson Jr.,Temple,N,AAC,FBS,Sr.,WR,11,37,647,3
2016,66,Amara Darboh,Michigan,Y,Big Ten,FBS,Sr.,WR,13,57,862,7
2015,103,Amara Darboh,Michigan,Y,Big Ten,FBS,Sr.,WR,13,58,727,5
2014,2,Amari Cooper,Alabama,Y,SEC,FBS,Jr.,WR,14,124,1727,16
2013,108,Amari Cooper,Alabama,Y,SEC,FBS,So.,WR,12,45,736,4
2020,10,Amari Rodgers,Clemson,Y,ACC,FBS,Sr.,WR,12,77,1020,7
2018,178,Amari Rodgers,Clemson,Y,ACC,FBS,So.,WR,15,55,575,4
2016,8,Amba Etta-Tawo,Syracuse,Y,ACC,FBS,Sr.,WR,12,94,1482,14
2013,213,Amba Etta-Tawo,Maryland,Y,ACC,FBS,Fr.,WR,12,31,500,2
2020,173,Amir Abdur-Rahman,Vanderbilt,Y,SEC,FBS,Jr.,WR,9,27,406,1
2020,122,Amon-Ra St. Brown,Southern California,Y,Pac-12,FBS,Jr.,WR,6,41,478,7
2019,31,Amon-Ra St. Brown,Southern California,Y,Pac-12,FBS,So.,WR,13,77,1042,6
2018,98,Amon-Ra St. Brown,Southern California,Y,Pac-12,FBS,Fr.,WR,12,60,750,3
2014,150,Anas Hasic,N.C. Central,N,MEAC,FCS,Jr.,WR,11,36,530,4
2018,172,Andre Baccellia,Washington,Y,Pac-12,FBS,Jr.,WR,14,55,584,0
2013,110,Andre Davis,South Fla.,N,AAC,FBS,Jr.,WR,12,49,735,2
2013,193,Andre Davis,Elon,N,SoCon,FCS,So.,WR,12,42,460,3
2023,142,Andre Dennis,Lamar University,N,Southland,FCS,So.,WR,11,36,481,3
2016,51,Andre Dessenberg,Towson,N,CAA,FCS,Sr.,WR,11,60,774,3
2013,356,Andre Dessenberg,Towson,N,CAA,FCS,Fr.,WR,15,18,305,1
2017,110,Andre Levrone,Virginia,Y,ACC,FBS,Sr.,WR,13,34,689,7
2017,54,Andre Lindsey,Sacramento St.,N,Big Sky,FCS,Jr.,WR,11,25,756,7
2021,68,Andre Miller,Maine,N,CAA,FCS,Sr.,WR,10,39,684,3
2020,73,Andre Miller,Maine,N,CAA,FCS,Sr.,WR,4,21,348,6
2023,147,Andre Pegues,Norfolk St.,N,MEAC,FCS,Sr.,WR,10,24,474,2
2015,141,Andre Stubbs,Youngstown St.,N,MVFC,FCS,Sr.,WR,11,38,479,3
2013,282,Andre Stubbs,Youngstown St.,N,MVFC,FCS,So.,WR,12,29,359,5
2018,143,Andre Williams,Akron,N,MAC,FBS,So.,WR,11,46,649,6
2017,117,Andre Wilson,UAB,N,CUSA,FBS,Jr.,WR,13,54,677,6
2022,23,Andrei Iosivas,Princeton,N,Ivy League,FCS,Sr.,WR,10,66,943,7
2021,63,Andrei Iosivas,Princeton,N,Ivy League,FCS,Jr.,WR,10,41,703,5
2016,83,Andrej Suttles,Furman,N,SoCon,FCS,Sr.,WR,10,44,658,6
2015,83,Andrej Suttles,Furman,N,SoCon,FCS,Jr.,WR,11,43,621,4
2014,176,Andrej Suttles,Furman,N,SoCon,FCS,So.,WR,12,41,497,1
2013,87,Andrej Suttles,Furman,N,SoCon,FCS,Fr.,WR,14,50,697,3
2023,84,Andrew Armstrong,Arkansas,Y,SEC,FBS,Sr.,WR,12,56,764,5
2021,18,Andrew Boston,Eastern Wash.,N,Big Sky,FCS,Sr.,WR,13,69,969,7
2020,62,Andrew Boston,Eastern Wash.,N,Big Sky,FCS,Jr.,WR,6,26,392,3
2019,90,Andrew Boston,Eastern Wash.,N,Big Sky,FCS,So.,WR,11,50,730,6
2018,140,Andrew Boston,Eastern Wash.,N,Big Sky,FCS,Fr.,WR,15,43,531,4
2014,169,Andrew Cassara,Valparaiso,N,Pioneer,FCS,Sr.,WR,10,38,500,5
2013,147,Andrew Cassara,Valparaiso,N,Pioneer,FCS,Jr.,WR,11,58,539,3
2018,54,Andrew Edgar,Illinois St.,N,MVFC,FCS,Fr.,WR,11,44,746,4
2014,90,Andrew Fischer,Harvard,N,Ivy League,FCS,Jr.,WR,10,55,677,4
2013,381,Andrew Fischer,Harvard,N,Ivy League,FCS,So.,WR,6,24,285,3
2013,316,Andrew Flory,Central Mich.,N,MAC,FBS,Jr.,WR,12,32,384,2
2013,379,Andrew Guillot,Louisiana Tech,N,CUSA,FBS,Sr.,WR,9,26,320,2
2017,144,Andrew Harris,Samford,N,SoCon,FCS,Jr.,WR,11,36,497,4
2015,134,Andrew King,Morgan St.,N,MEAC,FCS,Sr.,WR,10,44,489,3
2014,164,Andrew King,Morgan St.,N,MEAC,FCS,Sr.,WR,10,42,508,6
2013,384,Andrew Marks,Brown,N,Ivy League,FCS,Sr.,TE,10,22,283,4
2017,70,Andrew O'Neill,Sacred Heart,N,NEC,FCS,Sr.,WR,11,59,690,4
2019,74,Andrew Parchment,Kansas,Y,Big 12,FBS,Jr.,WR,12,65,831,7
2014,99,Andrew Robustelli,Jacksonville,N,Pioneer,FCS,Sr.,TE,11,39,660,9
2013,21,Andrew Robustelli,Jacksonville,N,Pioneer,FCS,Jr.,TE,11,51,1063,11
2017,49,Andrew Vollert,Weber St.,N,Big Sky,FCS,Sr.,TE,14,61,773,5
2016,42,Andrew Vollert,Weber St.,N,Big Sky,FCS,Jr.,TE,12,62,840,7
2015,106,Andrew Williams,Youngstown St.,N,MVFC,FCS,Sr.,WR,11,33,575,5
2014,27,Andrew Williams,Youngstown St.,N,MVFC,FCS,Jr.,WR,11,54,976,6
2013,241,Andrew Williams,Youngstown St.,N,MVFC,FCS,So.,WR,12,26,395,2
2018,1,Andy Isabella,Massachusetts,N,FBS Independent,FBS,Sr.,WR,12,102,1698,13
2017,27,Andy Isabella,Massachusetts,N,FBS Independent,FBS,Jr.,RB,12,65,1020,10
2016,87,Andy Isabella,Massachusetts,N,FBS Independent,FBS,So.,RB,12,62,801,7
2015,34,Andy Jones,Jacksonville,N,Pioneer,FCS,Sr.,WR,10,60,890,8
2014,92,Andy Jones,Jacksonville,N,Pioneer,FCS,Jr.,WR,11,45,673,6
2013,196,Andy Jones,Jacksonville,N,Pioneer,FCS,So.,WR,11,31,457,2
2017,77,Andy Schumpert,Furman,N,SoCon,FCS,Sr.,TE,13,32,652,9
2014,176,Anthony Abeid,Saint Francis (PA),N,NEC,FCS,Jr.,RB,11,28,497,7
2016,71,Anthony Firkser,Harvard,N,Ivy League,FCS,Sr.,TE,10,45,702,7
2014,185,Anthony Firkser,Harvard,N,Ivy League,FCS,So.,RB,10,32,485,4
2023,149,Anthony Frederick,Bryant,N,OVC,FCS,Sr.,WR,11,32,472,6
2022,86,Anthony Frederick,Bryant,N,Big South,FCS,Sr.,WR,11,39,654,5
2021,140,Anthony Frederick,Bryant,N,NEC,FCS,Jr.,WR,11,32,516,8
2023,97,Anthony Gould,Oregon St.,Y,Pac-12,FBS,Jr.,WR,11,44,718,2
2018,33,Anthony Johnson,Buffalo,N,MAC,FBS,Sr.,WR,13,57,1011,11
2017,6,Anthony Johnson,Buffalo,N,MAC,FBS,Jr.,WR,12,76,1356,14
2023,52,Anthony Johnson,Stony Brook,N,CAA,FCS,Fr.,WR,10,59,714,3
2013,221,Anthony Johnson,Jacksonville St.,N,OVC,FCS,Fr.,WR,15,35,416,4
2017,112,Anthony Mahoungou,Purdue,Y,Big Ten,FBS,Sr.,WR,13,40,688,8
2013,56,Anthony McClung,Cincinnati,N,AAC,FBS,Sr.,WR,12,72,939,5
2013,139,Anthony McGhee,Grambling,N,SWAC,FCS,Jr.,WR,11,45,552,6
2017,3,Anthony Miller,Memphis,N,AAC,FBS,Sr.,WR,13,96,1462,18
2016,9,Anthony Miller,Memphis,N,AAC,FBS,Jr.,WR,13,95,1434,14
2015,122,Anthony Miller,Memphis,N,AAC,FBS,So.,WR,12,47,694,5
2019,127,Anthony Olivencia,Marist,N,Pioneer,FCS,Sr.,WR,11,36,615,3
2018,82,Anthony Olivencia,Marist,N,Pioneer,FCS,Sr.,WR,11,41,661,2
2020,191,Anthony Queeley,Syracuse,Y,ACC,FBS,So.,WR,11,37,378,2
2018,123,Anthony Ratliff-Williams,North Carolina,Y,ACC,FBS,Jr.,WR,11,42,689,2
2017,139,Anthony Ratliff-Williams,North Carolina,Y,ACC,FBS,So.,WR,12,35,630,6
2015,177,Anthony Rice,Central Mich.,N,MAC,FBS,Jr.,WR,13,57,595,4
2020,55,Anthony Schwartz,Auburn,Y,SEC,FBS,Jr.,WR,10,54,636,3
2023,75,Anthony Simpson,Massachusetts,N,FBS Independent,FBS,Jr.,WR,12,57,792,3
2020,99,Anthony Stell Jr.,Eastern Wash.,N,Big Sky,FCS,So.,WR,7,17,282,3
2016,16,Anthony Warrum,Illinois St.,N,MVFC,FCS,Sr.,WR,12,60,1031,11
2015,4,Anthony Warrum,Illinois St.,N,MVFC,FCS,Jr.,WR,13,58,1290,15
2013,324,Anthony Warrum,Illinois St.,N,MVFC,FCS,Fr.,WR,11,12,324,3
2022,81,Antoine Green,North Carolina,Y,ACC,FBS,Sr.,WR,9,43,798,7
2021,154,Antoine Green,North Carolina,Y,ACC,FBS,Sr.,WR,13,31,612,5
2022,98,Antoine Murray,Howard,N,MEAC,FCS,Sr.,WR,11,40,615,4
2021,86,Antoine Murray,Howard,N,MEAC,FCS,Sr.,WR,11,33,629,7
2017,189,Antoine Porter,Eastern Mich.,N,MAC,FBS,Sr.,WR,12,46,548,4
2018,3,Antoine Wesley,Texas Tech,Y,Big 12,FBS,Jr.,WR,12,88,1410,9
2013,224,Antonio Andrews,Western Ky.,N,Sun Belt,FBS,Sr.,RB,12,41,478,0
2016,110,Antonio Callaway,Florida,Y,SEC,FBS,So.,WR,12,54,721,3
2015,128,Antonio Callaway,Florida,Y,SEC,FBS,Fr.,WR,14,35,678,4
2019,4,Antonio Gandy-Golden,Liberty,N,FBS Independent,FBS,Sr.,WR,13,79,1396,10
2019,102,Antonio Gibson,Memphis,N,AAC,FBS,Sr.,WR,14,38,735,8
2013,356,Antonio Jefferson,Morgan St.,N,MEAC,FCS,---,,11,18,305,2
2023,89,Antonio Jones,Grambling,N,SWAC,FCS,Jr.,WR,11,43,598,2
2021,108,Antonio Mullins,Prairie View,N,SWAC,FCS,Sr.,WR,12,48,575,3
2019,133,Antonio Mullins,Prairie View,N,SWAC,FCS,Jr.,,11,38,604,7
2020,75,Antonio Nunn,Buffalo,N,MAC,FBS,Sr.,WR,7,37,584,2
2019,122,Antonio Nunn,Buffalo,N,MAC,FBS,Jr.,WR,12,49,687,6
2022,160,Antonio Williams,Clemson,Y,ACC,FBS,Fr.,WR,14,56,604,4
2020,136,Antwan Davis,Ball St.,N,MAC,FBS,Sr.,WR,8,39,456,1
2014,64,Antwan Goodley,Baylor,Y,Big 12,FBS,Sr.,WR,11,60,830,6
2013,13,Antwan Goodley,Baylor,Y,Big 12,FBS,Jr.,WR,13,71,1339,13
2015,115,Antwane Grant,Western Ky.,N,CUSA,FBS,Sr.,WR,14,55,701,7
2022,43,Antwane Wells Jr.,South Carolina,Y,SEC,FBS,Jr.,WR,13,68,928,6
2021,3,Antwane Wells Jr.,James Madison,N,CAA,FCS,Fr.,WR,14,83,1250,15
2020,13,Antwane Wells Jr.,James Madison,N,CAA,FCS,Fr.,WR,8,33,603,6
2013,146,Antwon Chisholm,Hampton,N,MEAC,FCS,Sr.,RB,12,49,540,5
2016,65,ArDarius Stewart,Alabama,Y,SEC,FBS,Jr.,WR,12,54,864,8
2015,116,ArDarius Stewart,Alabama,Y,SEC,FBS,So.,WR,15,63,700,4
2016,131,Aris Scott,Delaware St.,N,MEAC,FCS,Sr.,WR,11,40,533,4
2015,73,Aris Scott,Delaware St.,N,MEAC,FCS,Jr.,WR,11,46,683,1
2017,195,Arkeel Newsome,UConn,N,AAC,FBS,Sr.,RB,10,25,541,2
2014,137,Armani Martin,Marist,N,Pioneer,FCS,Sr.,WR,11,39,554,6
2013,67,Armani Martin,Marist,N,Pioneer,FCS,Sr.,WR,10,45,770,12
2016,165,Artavis Scott,Clemson,Y,ACC,FBS,Jr.,WR,15,76,614,5
2015,58,Artavis Scott,Clemson,Y,ACC,FBS,So.,WR,15,93,901,6
2014,42,Artavis Scott,Clemson,Y,ACC,FBS,Fr.,WR,13,76,965,8
2019,103,Arthur Jackson III,Eastern Mich.,N,MAC,FBS,Sr.,WR,13,46,732,7
2018,167,Arthur Jackson III,Eastern Mich.,N,MAC,FBS,Jr.,WR,13,46,592,5
2013,241,Arthur Lynch,Georgia,Y,SEC,FBS,Sr.,TE,12,30,459,5
2013,301,Arthur Williams,Maine,N,CAA,FCS,Jr.,WR,12,24,344,3
2013,248,Ashton Broyld,Syracuse,Y,ACC,FBS,So.,RB,13,52,452,0
2013,6,Ashton Clark,Eastern Wash.,N,Big Sky,FCS,Sr.,WR,15,83,1233,10
2023,176,Ashton Jeanty,Boise St.,N,Mountain West,FBS,So.,RB,12,43,569,5
2023,51,Ashtyn Hawkins,Texas St.,N,Sun Belt,FBS,Jr.,WR,13,55,874,3
2022,167,Ashtyn Hawkins,Texas St.,N,Sun Belt,FBS,So.,WR,9,56,587,7
2023,135,Assanti Kearney,Monmouth,N,CAA,FCS,Sr.,WR,11,32,494,4
2022,91,Assanti Kearney,Monmouth,N,CAA,FCS,Sr.,WR,11,37,638,4
2017,189,Auden Tate,Florida St.,Y,ACC,FBS,Jr.,WR,12,40,548,10
2017,98,Aulden Knight,Hampton,N,MEAC,FCS,So.,WR,11,28,601,6
2021,158,Austin Allen,Nebraska,Y,Big Ten,FBS,Jr.,TE,12,38,602,2
2016,18,Austin Carr,Northwestern,Y,Big Ten,FBS,Sr.,WR,13,90,1247,12
2017,187,Austin Conway,Wyoming,N,Mountain West,FBS,So.,WR,13,61,549,3
2016,86,Austin Duke,Charlotte,N,CUSA,FBS,Sr.,WR,12,59,803,4
2013,78,Austin Duke,Charlotte,N,FCS Independent,FCS,Fr.,WR,11,62,727,6
2013,130,Austin Franklin,New Mexico St.,N,FBS Independent,FBS,Jr.,WR,8,52,670,7
2014,133,Austin Hill,Arizona,Y,Pac-12,FBS,Sr.,WR,14,49,635,4
2018,61,Austin Longi,Fordham,N,Patriot,FCS,Sr.,WR,11,61,716,4
2016,51,Austin Longi,Fordham,N,Patriot,FCS,So.,WR,11,59,774,6
2019,150,Austin Maloney,FIU,N,CUSA,FBS,Sr.,WR,13,33,639,2
2018,160,Austin Maloney,FIU,N,CUSA,FBS,Jr.,WR,13,30,610,5
2021,6,Austin Mitchell,Southeastern La.,N,Southland,FCS,Sr.,WR,13,78,1184,10
2019,47,Austin Mitchell,Southeastern La.,N,Southland,FCS,Jr.,WR,13,57,896,8
2021,192,Austin Osborne,Bowling Green,N,MAC,FBS,Jr.,WR,12,64,546,2
2016,174,Austin Proehl,North Carolina,Y,ACC,FBS,Jr.,WR,13,43,597,3
2013,250,Austin Seferian-Jenkins,Washington,Y,Pac-12,FBS,Jr.,TE,12,36,450,8
2020,161,Austin Stogner,Oklahoma,Y,Big 12,FBS,So.,TE,8,26,422,3
2019,107,Austin Trammell,Rice,N,CUSA,FBS,Jr.,WR,12,60,726,4
2018,150,Austin Trammell,Rice,N,CUSA,FBS,So.,WR,13,62,632,3
2020,130,Austin Watkins,UAB,N,CUSA,FBS,Sr.,WR,7,34,468,3
2019,28,Austin Watkins,UAB,N,CUSA,FBS,Jr.,WR,14,57,1092,6
2013,309,Austin Wilbers,Northern Colo.,N,Big Sky,FCS,Sr.,TE,11,30,337,1
2021,151,Austin Williams,Mississippi St.,Y,SEC,FBS,Sr.,WR,13,52,617,4
2020,198,Austin Williams,Mississippi St.,Y,SEC,FBS,Jr.,WR,11,43,372,3
2016,199,Austin Wolf,Akron,N,MAC,FBS,Jr.,WR,12,36,550,5
2022,103,Avante Cox,Southern Ill.,N,MVFC,FCS,Sr.,WR,11,46,612,8
2021,55,Avante Cox,Southern Ill.,N,MVFC,FCS,Sr.,WR,10,43,739,5
2020,5,Avante Cox,Southern Ill.,N,MVFC,FCS,Jr.,WR,10,66,838,5
2019,124,Avante Cox,Southern Ill.,N,MVFC,FCS,So.,WR,12,47,617,5
2015,140,Avery Ward,Mercer,N,SoCon,FCS,So.,WR,11,40,481,6
2021,133,Ayir Asante,Holy Cross,N,Patriot,FCS,Jr.,WR,13,43,529,4
2019,96,Ayir Asante,Holy Cross,N,Patriot,FCS,Fr.,WR,13,48,697,6
2020,38,Bailey Gaither,San Jose St.,N,Mountain West,FBS,Sr.,WR,7,41,725,4
2019,80,Bailey Gaither,San Jose St.,N,Mountain West,FBS,Sr.,WR,12,52,812,6
2021,35,Baniko Harley,Austin Peay,N,OVC,FCS,Sr.,QB,9,48,800,7
2020,65,Baniko Harley,Austin Peay,N,OVC,FCS,Sr.,QB,8,28,387,5
2019,56,Baniko Harley,Austin Peay,N,OVC,FCS,Jr.,QB,15,53,839,7
2023,193,Barion Brown,Kentucky,Y,SEC,FBS,So.,WR,13,43,539,4
2022,144,Barion Brown,Kentucky,Y,SEC,FBS,Fr.,WR,13,50,628,4
2013,57,Bartley Leneghan,Marist,N,Pioneer,FCS,---,WR,11,45,833,8
2019,186,Beau Corrales,North Carolina,Y,ACC,FBS,Jr.,WR,13,40,575,6
2022,86,Beau Kelly,Portland St.,N,Big Sky,FCS,Sr.,WR,11,41,654,5
2021,17,Beau Kelly,Portland St.,N,Big Sky,FCS,Jr.,WR,11,69,981,10
2015,82,Beau Sandland,Montana St.,N,Big Sky,FCS,Sr.,TE,11,37,632,9
2016,82,Ben Axline,UT Martin,N,OVC,FCS,---,WR,12,35,659,4
